,title_id,director
0,80063290,Jean-Loup Felicioli
1,80063290,Alain Gagnol
0,80162195,Toa Fraser
0,80106036,Vibeke Idsøe
0,80198687,Chan-sang Lim
0,80163353,Kyoko Miyake
0,80162246,Carlos Algara
1,80162246,Alejandro Martinez-Beltran
0,80112371,Stephen Donnelly
1,80112371,Olly Reid
2,80112371,Jun Falkenstein
0,80208413,Mikhil Musale
0,80128277,Riccardo Pilizzeri
0,80094453,Guilherme Fontes
0,70153553,Aamir Bashir
0,80098709,Alejandro Fernández Almendras
0,80092849,Álex de la Iglesia
0,80107372,Ishi Rudell
0,80138584,David Schalko
0,80106138,Pieter Kuijpers
0,80038288,Prashant Nair
0,80109089,Paul Taublieb
1,80109089,Jon Freeman
0,80061797,Riccardo Milani
0,70206821,Larry Elikann
0,70206816,Robert Markowitz
0,60022914,Eric Laneuville
0,70206818,Joel Oliansky
0,70206819,Roy Campanella II
0,70206822,Arthur Allan Seidelman
0,70206820,John Herzfeld
0,70206823,Buzz Kulik
0,70206824,Richard Michaels
0,70206825,Linda Otto
0,70206826,Roger Young
0,81029831,Vincent Kok
0,80194289,Fellipe Barbosa
0,80191219,Christian Zübert
0,80190859,David Mackenzie
0,70243445,David Palmer
1,70243445,Dax Shepard
0,80201542,Luke Snellin
0,81079723,Xavier Durringer
0,81003058,Jack C. Newell
0,80236993,Cecilia Atán
1,80236993,Valeria Pivato
0,80057565,Gus Van Sant
0,81002596,Saratswadee Wongsomphet
0,81002597,Kirati Nakintanon
0,80148275,Antongiulio Panizzi
0,80127886,Pawan Kumar
0,80080491,Patricia Rozema
0,80046777,Trey Edward Shults
0,60024976,Christian Charles
0,80173002,Bronwen Hughes
0,80009431,Orlando von Einsiedel
0,81092045,Phillip Youmans
0,81034600,Zhang Yimou
0,80183783,John Ridley
0,81209203,Lucas Margutti
0,81058497,Neal Brennan
0,80167628,Azazel Jacobs
0,81165326,Jung Ji-woo
0,81053961,Leslie Small
0,81029848,Tejas Prabha Vijay Deoskar
0,80204460,Anees Bazmee
0,70209267,Jim Fall
0,70306305,Marita Grabiak
0,70262831,Jason Priestley
0,70113005,Neill Blomkamp
0,70052286,Noah Baumbach
0,80114460,Matt D'Avella
0,81206389,Parthiban
0,80196135,Morgan Matthews
0,80117461,Marcus Raboy
0,80117533,Kief Davidson
1,80117533,Richard Ladkani
0,81197050,Luis Ara
1,81197050,Ignacio Jaunsolo
0,81213894,Abhishek Sharma
0,80238204,John Schultz
0,80230507,Damien O’Connor
0,80990725,Joseduardo Giordano
1,80990725,Sergio Goyri Jr.
0,81016327,Rudy Soedjarwo
0,81004245,Alice Rohrwacher
0,81033200,Kabir Bhatia
1,81033200,Titien Wattimena
0,81039383,Nandita Das
0,81018377,Leena Yadav
0,81021528,Romain Gavras
0,80991809,Sebastián Hofmann
0,80097475,Heidi Brandenburg
1,80097475,Mathew Orzel
0,70117294,John Luessenhop
0,70117582,Mike Disa
0,80163294,Pali Yahya
0,81082007,Mati Diop
0,81172754,Moses Inwang
0,81120982,Jérémy Clapin
0,81227195,Mandla Dube
0,81172841,Mike Ezuruonye
0,81172899,Cheta Chukwu
0,81172908,Roger Russell
0,81172901,Toka McBaror
0,81033086,Leslie Small
0,60020826,Frank Oz
0,80226242,Lu Yang
0,70101696,Edward Zwick
0,81194544,Basava Shankar Eeday
0,80995081,Prakash Satam
0,81177504,Elle-Máijá Tailfeathers
