,title_id,title,date_added,release_year,rating,duration,description
189,80149143,Come and Find Me,09/18/2019,2016,R,112,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption."
191,80987075,Class Rank,09/18/2018,2018,TV-14,103,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system."
192,80192815,Barbie Dolphin Magic,09/18/2017,2017,TV-G,64,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend."
196,80066798,Keith Richards: Under the Influence,09/18/2015,2015,TV-PG,82,"In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today."
197,81147293,A Haunting at Silver Falls: The Return,09/17/2019,2019,TV-14,80,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment."
199,80991316,Avengement,09/17/2019,2019,TV-MA,88,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer."
200,80190588,Clive Davis: The Soundtrack of Our Lives,09/17/2019,2017,TV-14,124,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.
201,70124316,Five Elements Ninjas,09/17/2019,1982,R,104,"When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge."
202,70229037,Sebastian Maniscalco: What's Wrong with People?,09/17/2019,2012,TV-14,76,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special."
204,80037280,The Witch,09/17/2018,2015,R,92,"Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid."
206,80058248,I Am Wrath,09/16/2019,2016,R,91,"Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians."
207,70307661,"As Above, So Below",09/16/2018,2014,R,93,A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.
208,70117312,Scott Pilgrim vs. the World,09/16/2018,2010,PG-13,112,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love."
209,80092885,ARQ,09/16/2016,2016,TV-MA,89,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity."
210,80108371,Cedric the Entertainer: Live from the Ville,09/16/2016,2016,TV-MA,60,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
211,70129452,Louis C.K.: Hilarious,09/16/2016,2010,,84,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more."
212,80045805,Raiders!: The Story of the Greatest Fan Film Ever Made,09/16/2016,2015,NR,93,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
213,80101827,The White Helmets,09/16/2016,2016,TV-14,41,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble."
217,81030342,Los Tigres del Norte at Folsom Prison,09/15/2019,2019,TV-PG,64,The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.
219,70054723,Steal a Pencil for Me,09/15/2019,2006,TV-14,94,This moving documentary chronicles the unshakeable romance between a couple who met and fell in love while imprisoned in a Nazi concentration camp.
222,81131761,The Outsider,09/15/2019,2019,TV-MA,86,A frontier sheriff tries to protect his sadistic son from a Chinese railroad worker hellbent on revenge.
226,81016326,Arisan 2,09/15/2018,2011,TV-14,113,"A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths."
