,title_id,country
0,70206816,United States
0,60022914,United States
0,70206818,United States
0,70206819,United States
0,70206822,United States
0,70206820,United States
0,70206823,United States
0,70206824,United States
0,70206825,United States
0,70206826,United States
0,81029831,Hong Kong
0,80194289,Brazil
1,80194289,France
0,80191219,Germany
0,81005091,China
0,80169786,United States
0,80190859,United Kingdom
1,80190859,United States
0,80218634,Brazil
0,81022683,Colombia
0,80201862,United States
0,80114869,Iceland
0,80989924,United Kingdom
0,80057250,United States
1,80057250,United Kingdom
2,80057250,Canada
0,70243445,United States
0,80201542,United States
0,81079723,France
0,81003058,United States
0,80236993,Argentina
1,80236993,Chile
0,80057565,United States
0,81016857,France
1,81016857,Belgium
0,81002596,Thailand
0,81002597,Thailand
0,80148275,Italy
0,80127886,India
0,80176771,United States
0,80080491,Canada
0,80046777,United States
0,60024976,United States
0,80185003,United States
0,80173002,United States
0,80009431,"United Kingdom,"
0,81092045,United States
0,81153751,Japan
0,81034600,China
1,81034600,Hong Kong
0,80183783,United States
0,81058497,United States
0,80167628,United States
0,81165326,South Korea
0,81053961,United States
0,81029848,India
0,80225421,United States
0,80204460,India
0,70209267,United States
0,70306305,Canada
1,70306305,United States
0,70262831,Canada
0,70113005,South Africa
1,70113005,United States
2,70113005,New Zealand
3,70113005,Canada
0,70052286,United States
0,80114460,United States
0,81206389,India
0,80201488,United States
0,80196135,United Kingdom
0,80117461,United States
0,80127600,United States
0,80117533,Austria
0,81193313,South Korea
0,81213894,India
0,80205593,Poland
1,80205593,United States
0,80238204,United States
0,80230507,Ireland
1,80230507,Canada
0,81041515,United States
1,81041515,Canada
0,80191074,United States
0,80990725,Mexico
0,81016327,Indonesia
0,81004245,Italy
1,81004245,Switzerland
2,81004245,France
3,81004245,Germany
0,81033200,Indonesia
0,81002951,Japan
0,81039383,India
0,81018377,India
0,81021528,France
0,80991809,Mexico
1,80991809,Netherlands
0,80097475,Peru
1,80097475,United States
2,80097475,United Kingdom
0,70117294,United States
0,70117582,United States
0,80119411,Canada
0,81082007,France
1,81082007,Senegal
2,81082007,Belgium
0,81172754,Nigeria
0,81120982,France
0,81227195,South Africa
0,81172899,Nigeria
0,81094391,United States
0,81172908,Nigeria
0,81172901,Nigeria
0,80990849,United States
0,81033086,United States
0,80156799,Japan
0,81161538,Brazil
0,80997965,United States
0,81018979,France
0,60020826,Germany
1,60020826,Canada
2,60020826,United States
0,80226242,China
0,81002391,United States
0,70101696,United States
0,81194544,India
0,81177504,Canada
